,거래량,매도,매수,변동량,전일비,체결가,체결시각
0,"6,179,927","58,700","58,600","6,709",300,"58,700",10:03
1,"6,173,218","58,700","58,600","15,114",400,"58,600",10:02
2,"6,158,104","58,700","58,600","34,267",400,"58,600",10:01
3,"6,123,837","58,600","58,500","61,630",400,"58,600",10:00
4,"6,062,207","58,700","58,600","22,412",300,"58,700",09:59
5,"6,039,795","58,700","58,600","3,976",400,"58,600",09:58
6,"6,035,819","58,700","58,600","73,337",400,"58,600",09:57
7,"5,962,482","58,600","58,500","12,836",400,"58,600",09:56
8,"5,949,646","58,600","58,500","9,066",400,"58,600",09:55
9,"5,940,580","58,600","58,500","114,687",500,"58,500",09:54
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
